id_matricula,fecha,observaciones
1072IOA,2010-07-27,No se especificaron observaciones
5853OII,2010-08-14,accessories not allowed
4785UUA,2011-08-21,No se especificaron observaciones
0772EOE,2011-07-13,No se especificaron observaciones
9218OIA,2011-10-30,"defective bulb, exhaust pipe"
5279OUE,2007-04-26,"spoiled engine, broken hand brake"
3929OOO,2011-03-02,No se especificaron observaciones
0098EUA,2008-06-25,windshield in poor condition
3043OOI,2006-02-25,No se especificaron observaciones
9733UAO,2011-10-29,defective bulb
1369OAU,2011-06-23,"accessories not allowed, cirulillo  of distribuitor failure"
3812EIU,2010-09-28,"worn tires, excess smoke, broken hand brake"
7608OAU,2011-01-14,No se especificaron observaciones
5844EIA,2011-11-21,defective bulb
4702OIA,2009-11-29,"improperly regulated lights, damaged chassis, exhaust pipe"
6306III,2008-05-15,"broken hand brake, insufficient braking"
6118UAA,2011-07-19,"excess smoke, defective bulb"
3667IIE,2007-04-28,broken headlight
1858UEA,2011-02-23,accessories not allowed
4702OIA,2010-11-14,"damaged license plate, exhaust pipe"
2639AAA,2010-06-08,No se especificaron observaciones
2955AUA,2010-07-31,"broken headlight, insufficient braking"
0861EUI,2010-07-21,No se especificaron observaciones
8489EAU,2010-12-25,"defective bulb, broken hand brake"
1286OEO,2012-01-24,"improperly regulated lights, damaged license plate"
4741IOU,2009-01-18,"minor faults, broken headlight"
7121UAU,2009-09-08,broken hand brake
3949IOE,2010-09-03,excess smoke
6864AIU,2011-07-18,"worn tires, broken headlight"
7981IOE,2011-05-29,No se especificaron observaciones
6493OEA,2007-08-31,"excess smoke, accessories not allowed"
5525OUO,2009-06-23,"excess smoke, defective bulb"
0609OUU,2010-10-31,"damaged license plate, insufficient braking"
7283OOE,2010-09-20,No se especificaron observaciones
5502UIE,2007-06-21,"spoiled engine, accessories not allowed"
7494UEU,2011-02-28,No se especificaron observaciones
6523AIO,2010-03-27,defective bulb
7608OAU,2011-01-14,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
2543OUU,2010-10-17,minor faults
7493AUE,2012-01-28,accessories not allowed
0583EAA,2008-08-25,"excess smoke, minor faults, broken headlight"
0946UOU,2010-08-29,"spoiled engine, exhaust pipe, accessories not allowed"
6511IUE,2008-01-25,"exhaust pipe, insufficient braking"
6864AIU,2011-07-18,"excess smoke, windshield in poor condition"
0383IOU,2010-04-29,No se especificaron observaciones
1943OAO,2009-02-18,"exhaust pipe, accessories not allowed"
4366UII,2006-09-29,"minor faults, broken hand brake"
9519IEI,2011-11-26,No se especificaron observaciones
8506OUO,2011-10-31,No se especificaron observaciones
7163UUU,2010-10-12,"worn tires, cirulillo  of distribuitor failure"
3732IUO,2010-07-19,broken hand brake
6758UOE,2010-06-25,"worn tires, spoiled engine"
0566EAU,2010-08-17,"spoiled engine, broken hand brake"
5408EII,2010-10-30,improperly regulated lights
7493AUE,2012-01-28,No se especificaron observaciones
6880OUO,2012-01-14,"worn tires, minor faults"
2512UAA,2006-09-29,No se especificaron observaciones
6511IUE,2008-01-22,spoiled engine
9519IEI,2011-11-26,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
1295IIA,2011-10-31,No se especificaron observaciones
9037UOU,2009-06-18,improperly regulated lights
6206EOU,2010-07-10,"spoiled engine, broken headlight, cirulillo  of distribuitor failure"
6205AIA,2010-06-26,"damaged chassis, defective bulb, exhaust pipe"
4760AEE,2011-07-27,No se especificaron observaciones
0344UEE,2012-01-17,windshield in poor condition
4776EUI,2006-11-30,minor faults
0383IOU,2010-04-29,No se especificaron observaciones
1103EEA,2009-09-28,cirulillo  of distribuitor failure
5329UEU,2011-02-28,excess smoke
8691OEI,2011-08-28,exhaust pipe
6206EOU,2010-06-21,"improperly regulated lights, minor faults"
4237EIO,2010-12-02,No se especificaron observaciones
7608OAU,2011-01-14,No se especificaron observaciones
0398EUI,2011-04-24,No se especificaron observaciones
5279OUE,2007-03-29,"spoiled engine, cirulillo  of distribuitor failure"
7196EOI,2011-03-04,No se especificaron observaciones
0716AUU,2008-06-29,spoiled engine
7608OAU,2011-01-14,No se especificaron observaciones
5828EEE,2011-01-30,exhaust pipe
2370AOA,2010-08-20,No se especificaron observaciones
5303EIO,2010-11-26,worn tires
6864AIU,2011-07-18,exhaust pipe
7757IAI,2011-04-28,No se especificaron observaciones
5279OUE,2007-04-13,damaged license plate
2512UAA,2010-09-22,"excess smoke, insufficient braking"
0946UOU,2010-08-29,improperly regulated lights
9237OAU,2007-04-18,"spoiled engine, cirulillo  of distribuitor failure"
2458AEU,2008-08-30,"cirulillo  of distribuitor failure, insufficient braking"
1810AUI,2010-07-24,No se especificaron observaciones
1117IAU,2007-12-31,windshield in poor condition
4785UUA,2011-08-21,No se especificaron observaciones
9534OIE,2008-08-30,"spoiled engine, broken hand brake"
5862IOU,2010-07-22,No se especificaron observaciones
1497IUA,2008-01-30,broken hand brake
2698UEA,2009-01-20,"excess smoke, broken hand brake"
1480EUA,2006-05-31,"windshield in poor condition, insufficient braking"
6464AIA,2008-11-23,damaged license plate
3949IOE,2010-09-08,spoiled engine
3722EAE,2009-06-25,minor faults
5944EOE,2008-11-27,"improperly regulated lights, exhaust pipe"
5938AOI,2009-03-27,"spoiled engine, broken headlight, accessories not allowed"
8828OIA,2010-09-16,broken hand brake
2973AAI,2007-10-29,defective bulb
1405AOU,2010-08-27,"defective bulb, broken hand brake"
5823AEO,2007-05-29,No se especificaron observaciones
5716IEO,2006-12-31,defective bulb
8140AOE,2010-04-30,No se especificaron observaciones
5338IEI,2011-01-31,No se especificaron observaciones
6797EIU,2010-06-17,No se especificaron observaciones
6493OEA,2007-08-31,spoiled engine
3295IOE,2010-11-02,No se especificaron observaciones
7121UAU,2009-08-22,"defective bulb, exhaust pipe"
8506OUO,2011-10-31,No se especificaron observaciones
4483AIO,2012-01-24,cirulillo  of distribuitor failure
3204OUA,2010-08-29,"damaged chassis, insufficient braking"
5831EEE,2009-12-27,cirulillo  of distribuitor failure
4776EUI,2010-11-25,No se especificaron observaciones
4286AUA,2008-09-26,windshield in poor condition
6758UOE,2010-06-25,spoiled engine
5828EEE,2011-01-30,damaged chassis
6320UOU,2008-05-31,"excess smoke, cirulillo  of distribuitor failure"
3949IOE,2010-09-04,"broken headlight, broken hand brake"
5119AUI,2011-05-17,No se especificaron observaciones
7757IAI,2011-04-28,"broken headlight, exhaust pipe"
4978AUI,2011-02-11,No se especificaron observaciones
3346AOO,2010-06-30,"broken headlight, exhaust pipe"
3631IUU,2007-08-25,cirulillo  of distribuitor failure
2072UIE,2011-11-24,No se especificaron observaciones
5154AEO,2010-05-21,No se especificaron observaciones
3647AEO,2006-12-13,No se especificaron observaciones
1802IAU,2011-10-20,"broken hand brake, cirulillo  of distribuitor failure"
4519AIU,2006-04-16,No se especificaron observaciones
0504IUE,2009-07-25,"windshield in poor condition, cirulillo  of distribuitor failure, accessories not allowed"
3434AOI,2006-04-28,"accessories not allowed, cirulillo  of distribuitor failure"
6118UAA,2010-07-25,No se especificaron observaciones
6118UAA,2011-07-19,damaged chassis
3667IIE,2007-05-13,"broken hand brake, cirulillo  of distribuitor failure"
2512UAA,2006-09-26,exhaust pipe
7919AEO,2011-10-22,No se especificaron observaciones
5823AEO,2007-05-29,"worn tires, cirulillo  of distribuitor failure"
8419EIE,2011-04-13,No se especificaron observaciones
6734OUU,2007-06-30,"excess smoke, minor faults"
9200IIA,2010-11-26,"worn tires, spoiled engine"
6292EIA,2010-12-26,No se especificaron observaciones
1329EUA,2007-02-20,insufficient braking
0728IOU,2011-07-26,"spoiled engine, damaged license plate"
0718UUE,2011-03-18,No se especificaron observaciones
7757IAI,2011-04-28,insufficient braking
2877AIA,2008-01-29,"spoiled engine, minor faults"
9218OIA,2007-10-31,exhaust pipe
1369OAU,2007-06-28,No se especificaron observaciones
0398EUI,2010-04-27,"spoiled engine, excess smoke, accessories not allowed"
7789UAO,2008-08-19,"worn tires, accessories not allowed"
5154AEO,2010-05-21,No se especificaron observaciones
2955AUA,2010-08-03,excess smoke
6668OOO,2010-05-02,No se especificaron observaciones
3812EIU,2010-09-28,damaged license plate
2452UEO,2009-07-12,broken headlight
6317EUO,2011-07-03,No se especificaron observaciones
8448OEU,2011-09-29,"damaged license plate, broken hand brake"
5350OAE,2007-10-12,"windshield in poor condition, accessories not allowed"
6111IAI,2011-12-26,"exhaust pipe, cirulillo  of distribuitor failure"
6817EUA,2006-09-24,"minor faults, damaged license plate, insufficient braking"
5329UEU,2011-02-28,No se especificaron observaciones
7121UAU,2009-08-28,broken headlight
7121UAU,2009-08-18,insufficient braking
8111EAA,2008-06-30,"worn tires, damaged license plate"
6279OUE,2009-12-30,"damaged license plate, broken hand brake, cirulillo  of distribuitor failure"
0935IOA,2010-05-27,"worn tires, excess smoke, accessories not allowed"
6817EUA,2006-09-22,broken hand brake
4776EUI,2006-11-30,"minor faults, broken headlight"
7494UEU,2011-02-28,No se especificaron observaciones
6648AEO,2011-09-08,"worn tires, broken hand brake"
1943OAO,2009-02-10,accessories not allowed
8691OEI,2011-08-28,No se especificaron observaciones
0438IAO,2011-03-12,No se especificaron observaciones
3929OOO,2011-03-02,No se especificaron observaciones
8177AAO,2008-06-20,accessories not allowed
5119EUA,2008-11-14,"minor faults, damaged chassis"
7835UUA,2011-02-27,damaged license plate
2583UIO,2006-09-26,"excess smoke, defective bulb"
6818EAU,2011-05-03,"worn tires, broken hand brake"
2698UEA,2012-01-15,accessories not allowed
5740AUA,2010-09-14,No se especificaron observaciones
4741IOU,2009-01-26,No se especificaron observaciones
8691OEI,2011-08-28,broken hand brake
4785UUA,2011-08-21,No se especificaron observaciones
5303EIO,2010-11-25,"spoiled engine, damaged license plate"
0716AUU,2008-06-25,No se especificaron observaciones
9218OIA,2011-10-30,No se especificaron observaciones
6829IOA,2006-04-24,defective bulb
5828EEE,2009-01-31,"spoiled engine, broken hand brake"
2893EII,2006-12-25,"minor faults, exhaust pipe"
4481IEE,2011-03-28,No se especificaron observaciones
4481IEE,2011-03-28,No se especificaron observaciones
6525AEI,2008-10-29,accessories not allowed
7757IAI,2011-04-28,insufficient braking
7405UIU,2011-02-05,"exhaust pipe, cirulillo  of distribuitor failure"
7405UIU,2010-02-20,"defective bulb, cirulillo  of distribuitor failure"
2347OUI,2010-01-26,"worn tires, insufficient braking"
6734OUU,2007-07-26,"insufficient braking, accessories not allowed"
3283IAA,2009-12-11,"broken hand brake, accessories not allowed"
4760AEE,2008-07-31,excess smoke
9733UAO,2011-10-29,"windshield in poor condition, damaged chassis"
6882IUI,2007-03-31,broken hand brake
7376AEU,2007-02-18,"spoiled engine, exhaust pipe"
2698UEA,2009-01-30,insufficient braking
3451OIO,2008-12-26,"spoiled engine, insufficient braking"
6525AEI,2008-10-28,"improperly regulated lights, exhaust pipe"
2347OUI,2010-01-17,"windshield in poor condition, defective bulb"
5999AAI,2011-12-06,No se especificaron observaciones
1717III,2006-08-21,No se especificaron observaciones
7757IAI,2011-04-28,broken hand brake
1369OAU,2011-06-23,"damaged chassis, cirulillo  of distribuitor failure"
7372AEU,2011-04-27,"minor faults, accessories not allowed"
9237OAU,2007-04-29,cirulillo  of distribuitor failure
1564AII,2009-03-29,"excess smoke, insufficient braking"
7034IUI,2010-05-16,No se especificaron observaciones
0566EAU,2008-08-31,"minor faults, insufficient braking"
0344UEE,2012-01-17,"improperly regulated lights, broken headlight, accessories not allowed"
7696UOA,2010-08-01,No se especificaron observaciones
1802IAU,2011-10-20,No se especificaron observaciones
8784IUI,2007-09-27,"minor faults, damaged license plate"
9733UAO,2011-10-29,broken hand brake
2583UIO,2006-09-19,"improperly regulated lights, excess smoke"
0344UEE,2012-01-17,cirulillo  of distribuitor failure
3283IAA,2009-12-21,"minor faults, defective bulb"
9237OAU,2007-04-25,"spoiled engine, improperly regulated lights, broken hand brake"
1810AUI,2010-07-24,No se especificaron observaciones
6306III,2008-05-19,"broken headlight, cirulillo  of distribuitor failure"
5329UEU,2011-02-28,insufficient braking
7250EOE,2009-10-24,"worn tires, improperly regulated lights"
0609OUU,2011-10-29,exhaust pipe
5502UIE,2007-05-28,"broken headlight, insufficient braking"
1497IUA,2008-01-31,"worn tires, windshield in poor condition, damaged chassis"
1675EOA,2010-12-30,No se especificaron observaciones
8775UUI,2011-08-16,No se especificaron observaciones
0062OEA,2011-07-09,No se especificaron observaciones
1103EEA,2010-09-19,damaged license plate
9733UAO,2011-10-29,No se especificaron observaciones
0861EUI,2010-07-21,No se especificaron observaciones
5329UEU,2011-02-28,"worn tires, insufficient braking"
6523AIO,2010-03-23,"damaged license plate, defective bulb"
3346AOO,2010-07-20,No se especificaron observaciones
2339OOI,2007-08-25,spoiled engine
4785UUA,2011-08-21,No se especificaron observaciones
5023EII,2010-11-17,damaged chassis
3732IUO,2010-07-19,"spoiled engine, excess smoke, windshield in poor condition, damaged license plate"
2970EUI,2011-08-28,"worn tires, damaged chassis, accessories not allowed"
1802IAU,2009-10-23,"excess smoke, windshield in poor condition, cirulillo  of distribuitor failure"
0946UOU,2010-08-29,"worn tires, excess smoke"
5823AEO,2007-05-30,cirulillo  of distribuitor failure
6292EIA,2010-12-26,No se especificaron observaciones
6829IOA,2006-04-30,accessories not allowed
7757IAI,2011-04-28,"spoiled engine, defective bulb"
7757IAI,2011-04-28,"excess smoke, windshield in poor condition, defective bulb"
0566EAU,2010-08-17,excess smoke
1244UEO,2009-06-23,defective bulb
5999AAI,2011-12-06,No se especificaron observaciones
4639AEE,2010-12-06,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
4309OEE,2008-05-26,"damaged chassis, broken hand brake"
8419EIE,2011-04-13,No se especificaron observaciones
3204OUA,2010-08-29,damaged license plate
4734UAO,2011-02-25,No se especificaron observaciones
4978AUI,2011-02-11,No se especificaron observaciones
0383IOU,2010-04-29,No se especificaron observaciones
1717III,2006-08-28,No se especificaron observaciones
3202OUU,2007-12-31,No se especificaron observaciones
5700IIE,2010-08-16,exhaust pipe
1131AOO,2008-07-27,exhaust pipe
7163UUU,2010-09-28,damaged license plate
6279OUE,2010-01-10,"worn tires, insufficient braking, cirulillo  of distribuitor failure"
3631IUU,2007-08-24,"improperly regulated lights, insufficient braking"
3523OOE,2011-08-30,exhaust pipe
7375OAI,2010-11-07,No se especificaron observaciones
8775UUI,2011-08-16,No se especificaron observaciones
0718UUE,2011-03-18,No se especificaron observaciones
0772EOE,2011-07-13,No se especificaron observaciones
6891AIU,2010-06-05,No se especificaron observaciones
8140AOE,2010-04-30,No se especificaron observaciones
5387EAA,2008-07-21,"spoiled engine, windshield in poor condition, broken hand brake"
9117UEE,2007-01-29,"windshield in poor condition, broken hand brake"
5938AOI,2009-04-20,"broken hand brake, insufficient braking"
8506OUO,2011-10-31,"damaged license plate, cirulillo  of distribuitor failure"
2347OUI,2010-01-21,damaged license plate
1286OEO,2012-01-24,No se especificaron observaciones
3784IAO,2010-12-29,broken hand brake
0438IAO,2011-03-12,No se especificaron observaciones
9507AAI,2010-05-28,No se especificaron observaciones
6525AEI,2008-10-31,worn tires
3784IAO,2010-12-29,"worn tires, improperly regulated lights"
3242OEU,2007-12-27,cirulillo  of distribuitor failure
3523OOE,2011-08-30,defective bulb
0431UIE,2007-09-15,No se especificaron observaciones
3043OOI,2006-02-27,"worn tires, broken headlight"
4785UUA,2011-08-21,No se especificaron observaciones
9507IIA,2011-03-26,No se especificaron observaciones
7163UUU,2010-09-23,minor faults
6292EIA,2010-12-26,No se especificaron observaciones
3784IAO,2010-12-29,improperly regulated lights
5867AUU,2011-01-23,"damaged chassis, accessories not allowed"
6111IAI,2011-12-26,No se especificaron observaciones
7372AEU,2011-04-27,"spoiled engine, minor faults"
1286OEO,2011-01-27,broken hand brake
9038OUI,2011-09-29,"worn tires, defective bulb"
0566EAU,2010-08-17,"improperly regulated lights, cirulillo  of distribuitor failure"
8419EIE,2011-04-13,No se especificaron observaciones
5154AEO,2010-05-21,No se especificaron observaciones
2973AAI,2007-09-30,cirulillo  of distribuitor failure
1295IIA,2011-10-31,"windshield in poor condition, insufficient braking"
1695OEI,2010-05-05,worn tires
7163UUU,2011-10-07,minor faults
0438IAO,2011-03-12,No se especificaron observaciones
0619IEO,2010-09-12,No se especificaron observaciones
2370AOA,2010-08-20,No se especificaron observaciones
6095EAE,2010-05-24,No se especificaron observaciones
3797UOE,2011-03-27,broken headlight
0383IOU,2010-04-29,No se especificaron observaciones
4519AIU,2006-04-26,spoiled engine
3722EAE,2009-07-10,"spoiled engine, exhaust pipe"
5290OEU,2009-11-24,accessories not allowed
5823AEO,2007-05-31,"damaged chassis, broken headlight"
5279OUE,2007-04-24,"defective bulb, cirulillo  of distribuitor failure, broken hand brake"
6734OUU,2007-06-30,"excess smoke, defective bulb"
9855AIE,2009-08-30,broken headlight
7607OAA,2008-07-29,"worn tires, excess smoke"
0772EOE,2011-07-13,No se especificaron observaciones
5303EIO,2011-11-22,No se especificaron observaciones
8953EIU,2010-09-17,No se especificaron observaciones
1286OEO,2012-01-24,"spoiled engine, broken hand brake"
9237OAU,2007-04-23,accessories not allowed
3295IOE,2010-11-02,No se especificaron observaciones
0122IIA,2006-12-26,"cirulillo  of distribuitor failure, insufficient braking"
4304AOI,2010-06-07,damaged license plate
3219AEO,2011-09-07,"excess smoke, improperly regulated lights"
6734OUU,2007-06-29,damaged license plate
2583UIO,2006-09-26,"improperly regulated lights, damaged license plate, broken headlight"
3204OUA,2010-08-29,No se especificaron observaciones
0342OEO,2006-08-31,broken hand brake
6525AEI,2008-11-08,broken hand brake
3784IAO,2010-12-29,No se especificaron observaciones
7405UIU,2010-02-18,improperly regulated lights
5526UOU,2009-05-19,"spoiled engine, broken headlight"
7196EOI,2011-03-04,No se especificaron observaciones
8775UUI,2011-08-16,No se especificaron observaciones
6306III,2010-05-04,exhaust pipe
6818EAU,2010-04-24,"broken headlight, insufficient braking"
6818EAU,2010-05-10,"spoiled engine, broken headlight, accessories not allowed"
4544UOU,2008-09-25,"minor faults, insufficient braking"
3722EAE,2009-06-26,"insufficient braking, broken hand brake"
3722EAE,2009-07-22,No se especificaron observaciones
5303EIO,2011-11-22,"worn tires, improperly regulated lights"
0431UIE,2007-08-28,No se especificaron observaciones
3204OUA,2010-08-29,insufficient braking
8506OUO,2011-10-31,"improperly regulated lights, broken headlight"
0946UOU,2010-08-29,accessories not allowed
5303EIO,2010-11-24,"excess smoke, damaged chassis"
2458AEU,2010-08-26,No se especificaron observaciones
7196EOI,2011-03-04,No se especificaron observaciones
5502UIE,2011-06-09,insufficient braking
1497IUA,2008-01-29,"exhaust pipe, accessories not allowed"
5938AOI,2009-04-19,"improperly regulated lights, accessories not allowed"
1369OAU,2007-06-29,damaged chassis
5279OUE,2007-04-23,cirulillo  of distribuitor failure
2973AAI,2007-09-30,"worn tires, damaged chassis"
1329EUA,2007-01-27,"excess smoke, improperly regulated lights"
4978AUI,2011-02-11,No se especificaron observaciones
9237OAU,2007-04-28,exhaust pipe
9037UOU,2009-06-19,exhaust pipe
8784IUI,2007-10-24,excess smoke
4785UUA,2011-08-21,No se especificaron observaciones
2452UEO,2009-07-16,No se especificaron observaciones
0728IOU,2011-07-26,insufficient braking
5867AUU,2011-01-23,"worn tires, accessories not allowed"
7919AEO,2011-10-22,No se especificaron observaciones
3523OOE,2011-08-30,No se especificaron observaciones
4280EUI,2012-01-12,No se especificaron observaciones
6317EUO,2011-07-03,No se especificaron observaciones
1131AOO,2008-07-21,excess smoke
5944EOE,2008-11-30,defective bulb
1369OAU,2007-06-30,No se especificaron observaciones
6118UAA,2011-07-19,"exhaust pipe, broken hand brake"
6829IOA,2006-04-29,windshield in poor condition
1556IAI,2008-01-29,No se especificaron observaciones
3043OOI,2006-02-26,"worn tires, spoiled engine, accessories not allowed"
9105UIU,2006-11-24,insufficient braking
6061IUO,2006-11-20,windshield in poor condition
3346AOO,2011-07-14,No se especificaron observaciones
6648AEO,2010-09-23,defective bulb
6118UAA,2011-07-19,No se especificaron observaciones
5740AUA,2010-09-14,No se especificaron observaciones
6523AIO,2010-04-04,No se especificaron observaciones
6818EAU,2010-04-23,No se especificaron observaciones
5716IEO,2007-01-15,No se especificaron observaciones
4776EUI,2010-11-25,"worn tires, exhaust pipe"
5806EUE,2006-09-24,"worn tires, improperly regulated lights, broken headlight"
4702OIA,2010-11-14,excess smoke
0946UOU,2010-08-29,cirulillo  of distribuitor failure
8668OEE,2008-11-29,No se especificaron observaciones
1329EUA,2007-01-28,"worn tires, accessories not allowed"
4286AUA,2008-09-18,defective bulb
9861AUO,2010-12-03,No se especificaron observaciones
3219AEO,2010-09-18,"windshield in poor condition, broken headlight, exhaust pipe"
1117IAU,2007-12-28,cirulillo  of distribuitor failure
6734OUU,2007-07-24,excess smoke
9117UEE,2007-01-28,"damaged license plate, exhaust pipe"
5740AUA,2010-09-14,No se especificaron observaciones
0122IIA,2006-12-30,No se especificaron observaciones
9038OUI,2011-09-29,No se especificaron observaciones
0946UOU,2010-08-29,"excess smoke, minor faults"
0062OEA,2010-07-16,worn tires
9454IIE,2010-12-17,cirulillo  of distribuitor failure
0098EUA,2008-06-30,"broken headlight, cirulillo  of distribuitor failure"
5938AOI,2009-04-23,cirulillo  of distribuitor failure
2973AAI,2007-10-26,accessories not allowed
2583UIO,2006-08-31,"exhaust pipe, broken hand brake"
0062OEA,2011-07-09,No se especificaron observaciones
9519OEE,2011-10-23,damaged license plate
5119AUI,2011-05-17,No se especificaron observaciones
9534OIE,2008-08-24,"damaged chassis, insufficient braking"
3451OIO,2010-12-17,No se especificaron observaciones
1497IUA,2008-02-22,"spoiled engine, broken headlight"
6648AEO,2010-09-18,minor faults
5338IEI,2011-01-31,No se especificaron observaciones
1536UII,2008-08-16,damaged license plate
6829IOA,2006-05-15,"worn tires, spoiled engine, minor faults"
7163UUU,2010-09-28,windshield in poor condition
7376AEU,2007-02-19,"damaged chassis, broken hand brake"
3043OOI,2006-03-11,minor faults
8691OEI,2011-08-28,improperly regulated lights
0716AUU,2008-06-22,No se especificaron observaciones
7196EOI,2011-03-04,No se especificaron observaciones
4334OUU,2007-06-22,"minor faults, insufficient braking"
6292EIA,2010-12-26,No se especificaron observaciones
9733UAO,2011-10-29,No se especificaron observaciones
4280EUI,2012-01-12,No se especificaron observaciones
0344UEE,2011-01-28,broken hand brake
0398EUI,2011-04-24,No se especificaron observaciones
8686IUU,2006-11-26,"minor faults, damaged license plate, accessories not allowed"
6891AIU,2010-06-05,No se especificaron observaciones
6306III,2008-05-17,No se especificaron observaciones
0122IIA,2006-12-21,cirulillo  of distribuitor failure
9507AAI,2010-05-28,No se especificaron observaciones
7103OIU,2010-07-17,No se especificaron observaciones
6055EOO,2009-11-22,"spoiled engine, improperly regulated lights, insufficient braking"
9787IEE,2007-08-30,cirulillo  of distribuitor failure
5119EUA,2008-11-12,minor faults
2583UIO,2006-09-27,damaged license plate
8489EAU,2010-12-18,accessories not allowed
8472OIE,2010-06-20,"damaged chassis, exhaust pipe"
8775UUI,2011-08-16,No se especificaron observaciones
5023EII,2010-11-16,insufficient braking
3219AEO,2010-09-12,accessories not allowed
5831EEE,2009-12-29,broken hand brake
5303EIO,2010-11-28,broken headlight
8177AAO,2008-06-27,broken hand brake
6560AII,2010-03-23,cirulillo  of distribuitor failure
8668OEE,2008-11-21,"minor faults, accessories not allowed"
5329UEU,2011-02-28,"improperly regulated lights, spoiled engine"
0946UOU,2010-08-29,"worn tires, spoiled engine, broken headlight"
0728IOU,2011-07-26,damaged license plate
5290OEU,2009-11-13,broken hand brake
9519OEE,2008-10-29,exhaust pipe
8489EAU,2010-12-28,damaged license plate
5526UOU,2011-05-12,"worn tires, broken hand brake"
1717III,2006-08-31,No se especificaron observaciones
6055EOO,2009-11-23,"minor faults, accessories not allowed"
9105UIU,2006-11-30,No se especificaron observaciones
4286AUA,2008-08-30,exhaust pipe
3043OOI,2006-02-26,"defective bulb, broken headlight"
7372AEU,2006-04-28,damaged license plate
1369OAU,2007-06-29,No se especificaron observaciones
7494UEU,2011-02-28,No se especificaron observaciones
2877AIA,2008-02-10,windshield in poor condition
9733UAO,2011-10-29,damaged license plate
9733UAO,2011-10-29,broken hand brake
8448OEU,2011-09-29,minor faults
2685IAA,2010-08-27,"worn tires, cirulillo  of distribuitor failure"
6880OUO,2009-01-15,windshield in poor condition
3784IAO,2009-12-30,excess smoke
6111IAI,2011-12-26,broken hand brake
7493AUE,2012-01-28,"defective bulb, exhaust pipe, broken headlight"
5844EIA,2011-11-21,insufficient braking
0935IOA,2011-05-19,excess smoke
3202OUU,2011-12-22,"improperly regulated lights, damaged chassis"
7283OOE,2010-09-20,No se especificaron observaciones
3667IIE,2007-05-17,"exhaust pipe, accessories not allowed"
4734UAO,2011-02-25,No se especificaron observaciones
6055EOO,2009-10-31,exhaust pipe
8545AOA,2009-02-17,accessories not allowed
7121UAU,2009-08-19,No se especificaron observaciones
9519OEE,2008-10-29,cirulillo  of distribuitor failure
2539EOE,2011-12-28,"spoiled engine, cirulillo  of distribuitor failure"
1117IAU,2007-12-28,windshield in poor condition
5863AII,2010-07-01,No se especificaron observaciones
1556IAI,2008-01-29,"improperly regulated lights, insufficient braking"
5119EUA,2008-11-12,No se especificaron observaciones
7835UUA,2011-02-27,"damaged chassis, exhaust pipe"
